id,cover,name,rating
3328,//images.igdb.com/igdb/image/upload/t_thumb/co2f8m.jpg,1080° Snowboarding,1
3349,//images.igdb.com/igdb/image/upload/t_thumb/co25us.jpg,Paper Mario: The Thousand-Year Door,1
3350,//images.igdb.com/igdb/image/upload/t_thumb/co1tfp.jpg,Paper Mario: Sticker Star,1
3365,//images.igdb.com/igdb/image/upload/t_thumb/co1rm4.jpg,Mario & Luigi: Dream Team,1
3384,//images.igdb.com/igdb/image/upload/t_thumb/co26dy.jpg,Harvest Moon: A Wonderful Life,1
3390,//images.igdb.com/igdb/image/upload/t_thumb/yofpxlcxabvzswldufnf.jpg,Harvest Moon: Animal Parade,1
3400,//images.igdb.com/igdb/image/upload/t_thumb/co21kv.jpg,NES Open Tournament Golf,1
3404,//images.igdb.com/igdb/image/upload/t_thumb/co2204.jpg,Mario Golf: Advance Tour,1
3418,//images.igdb.com/igdb/image/upload/t_thumb/co1yao.jpg,Banjo-Tooie,1
3476,//images.igdb.com/igdb/image/upload/t_thumb/co289l.jpg,Dr. Mario,1
3478,//images.igdb.com/igdb/image/upload/t_thumb/co1wns.jpg,Dr. Luigi,1
3489,//images.igdb.com/igdb/image/upload/t_thumb/co1see.jpg,F-Zero X,1
3490,//images.igdb.com/igdb/image/upload/t_thumb/co1y7v.jpg,F-Zero,1
3492,//images.igdb.com/igdb/image/upload/t_thumb/co1tjv.jpg,F-Zero GX,1
3592,//images.igdb.com/igdb/image/upload/t_thumb/raztszbzhxprxylton6x.jpg,Robotron: 2084,1
3662,//images.igdb.com/igdb/image/upload/t_thumb/co1qm9.jpg,Adventures of Lolo,1
3666,//images.igdb.com/igdb/image/upload/t_thumb/co2gli.jpg,Ice Climber,1
3668,//images.igdb.com/igdb/image/upload/t_thumb/co1pee.jpg,Shrek 2,1
3679,//images.igdb.com/igdb/image/upload/t_thumb/co1t9s.jpg,Dance Dance Revolution,1
3680,//images.igdb.com/igdb/image/upload/t_thumb/co214p.jpg,Dance Dance Revolution Mario Mix,1
3682,//images.igdb.com/igdb/image/upload/t_thumb/co2et8.jpg,Balloon Kid,1
3694,//images.igdb.com/igdb/image/upload/t_thumb/co24uy.jpg,The Settlers,1
3723,//images.igdb.com/igdb/image/upload/t_thumb/co1wc7.jpg,Kirby: Squeak Squad,1
3724,//images.igdb.com/igdb/image/upload/t_thumb/co1wbw.jpg,Kirby Mass Attack,1
3727,//images.igdb.com/igdb/image/upload/t_thumb/co1wbt.jpg,Kirby's Avalanche,1
3751,//images.igdb.com/igdb/image/upload/t_thumb/co1nc4.jpg,Peggle,1
3752,//images.igdb.com/igdb/image/upload/t_thumb/co1nc5.jpg,Peggle 2,1
3767,//images.igdb.com/igdb/image/upload/t_thumb/co2ddy.jpg,Madagascar Kartz,1
3768,//images.igdb.com/igdb/image/upload/t_thumb/co2de9.jpg,The Penguins of Madagascar: Dr. Blowhole Returns – Again!,1
3774,//images.igdb.com/igdb/image/upload/t_thumb/co2eux.jpg,1080° Avalanche,1
3781,//images.igdb.com/igdb/image/upload/t_thumb/co2di4.jpg,Finding Nemo,1
3789,//images.igdb.com/igdb/image/upload/t_thumb/co1qsx.jpg,Asterix & Obelix XXL,1
3791,//images.igdb.com/igdb/image/upload/t_thumb/co28h4.jpg,Auto Modellista,1
3838,//images.igdb.com/igdb/image/upload/t_thumb/x5qbgktyhmt57rb3rlue.jpg,Burnout,1
3840,//images.igdb.com/igdb/image/upload/t_thumb/cpenxfrfiptt3b14ewnr.jpg,Burnout 2: Point of Impact,1
3849,//images.igdb.com/igdb/image/upload/t_thumb/co25td.jpg,Cars,1
3861,//images.igdb.com/igdb/image/upload/t_thumb/nxsodz69lvtljrouti22.jpg,Cocoto Platform Jumper,1
3873,//images.igdb.com/igdb/image/upload/t_thumb/co1pk3.jpg,Defender,1
3889,//images.igdb.com/igdb/image/upload/t_thumb/co2f7s.jpg,Donkey Konga,1
3891,//images.igdb.com/igdb/image/upload/t_thumb/co2f7u.jpg,Donkey Konga 3: All You Can Eat! Spring 50 Music Works Mix,1
3901,//images.igdb.com/igdb/image/upload/t_thumb/fpbhplzwhkzjty10pnj3.jpg,Drome Racers,1
