id,cover,genres,name,rating,cover_big,has_cars
6176,//images.igdb.com/igdb/image/upload/t_thumb/co1pmd.jpg,"['Puzzle', 'Adventure']",Still Life 2,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1pmd.jpg,False
6213,//images.igdb.com/igdb/image/upload/t_thumb/co1p3i.jpg,"['Shooter', 'Adventure']",Total Overdose,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1p3i.jpg,False
6632,//images.igdb.com/igdb/image/upload/t_thumb/co1wky.jpg,['Shooter'],Call of Duty: Advanced Warfare,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1wky.jpg,False
6655,//images.igdb.com/igdb/image/upload/t_thumb/co27mi.jpg,"['Fighting', ""Hack and slash/Beat 'em up"", 'Indie', 'Arcade']",Mother Russia Bleeds,5,//images.igdb.com/igdb/image/upload/t_cover_big/co27mi.jpg,False
6748,//images.igdb.com/igdb/image/upload/t_thumb/co2coc.jpg,['Shooter'],Killing Floor 2,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2coc.jpg,False
6782,//images.igdb.com/igdb/image/upload/t_thumb/co1i8h.jpg,"['Platform', ""Hack and slash/Beat 'em up"", 'Adventure']",Ninja Gaiden II,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1i8h.jpg,False
6801,//images.igdb.com/igdb/image/upload/t_thumb/co2npa.jpg,"['Shooter', 'Tactical', 'Adventure']",Far Cry 4,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2npa.jpg,False
6880,//images.igdb.com/igdb/image/upload/t_thumb/bxr20aac8jh9fi7f0dal.jpg,"['Shooter', 'Role-playing (RPG)']",Metro Redux,5,//images.igdb.com/igdb/image/upload/t_cover_big/bxr20aac8jh9fi7f0dal.jpg,False
6912,//images.igdb.com/igdb/image/upload/t_thumb/co2e6n.jpg,"[""Hack and slash/Beat 'em up"", 'Adventure']",Beowulf: The Game,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2e6n.jpg,False
6921,//images.igdb.com/igdb/image/upload/t_thumb/w482hefgf23ek50f9lke.jpg,['Sport'],Blitz: The League II,5,//images.igdb.com/igdb/image/upload/t_cover_big/w482hefgf23ek50f9lke.jpg,False
6939,//images.igdb.com/igdb/image/upload/t_thumb/co1ya0.jpg,['Shooter'],Clive Barker's Jericho,5,//images.igdb.com/igdb/image/upload/t_cover_big/co1ya0.jpg,False
6942,//images.igdb.com/igdb/image/upload/t_thumb/co2eis.jpg,"['Shooter', 'Adventure']",Condemned: Criminal Origins,5,//images.igdb.com/igdb/image/upload/t_cover_big/co2eis.jpg,False
6943,//images.igdb.com/igdb/image/upload/t_thumb/co24nw.jpg,"['Shooter', 'Adventure']",Condemned 2: Bloodshot,5,//images.igdb.com/igdb/image/upload/t_cover_big/co24nw.jpg,False
